日期序号,微博条数,积极条数,消极条数,积极转发,积极评论,积极赞,消极转发,消极评论,消极赞,总转发,总评论,总赞,平均积极转发,平均积极评论,平均积极赞,平均消极转发,平均消极评论,平均消极赞
2019/4/11,30,30,0,176971,69285,227807,0,0,0,176971 ,69285 ,227807 ,5899 ,2310 ,7594 ,#DIV/0!,#DIV/0!,#DIV/0!
2019/4/12,28,23,5,5794,5500,27005,406,2250,4326,6200 ,7750 ,31331 ,252 ,239 ,1174 ,81 ,450 ,865 
2019/4/13,26,15,11,23106,15557,17140,1236,6374,8450,24342 ,21931 ,25590 ,1540 ,1037 ,1143 ,112 ,579 ,768 
2019/4/14,27,16,11,16106,13458,11527,414,2259,2992,16520 ,15717 ,14519 ,1007 ,841 ,720 ,38 ,205 ,272 
2019/4/15,30,19,11,6248,8135,9836,1149,2992,3637,7397 ,11127 ,13473 ,329 ,428 ,518 ,104 ,272 ,331 
2019/4/16,30,21,9,13732,14524,32233,753,2520,2847,14485 ,17044 ,35080 ,654 ,692 ,1535 ,84 ,280 ,316 
2019/4/17,30,18,12,11224,10642,33317,2734,6445,7089,13958 ,17087 ,40406 ,624 ,591 ,1851 ,228 ,537 ,591 
2019/4/18,30,16,14,2193,2862,9907,4957,5004,10259,7150 ,7866 ,20166 ,137 ,179 ,619 ,354 ,357 ,733 
2019/4/19,29,18,11,2313,3400,5125,771,1841,3436,3084 ,5241 ,8561 ,129 ,189 ,285 ,70 ,167 ,312 
2019/4/20,28,20,8,2698,8174,7829,353,2002,4227,3051 ,10176 ,12056 ,135 ,409 ,391 ,44 ,250 ,528 
2019/4/21,30,23,7,4588,3833,13210,1086,3322,6630,5674 ,7155 ,19840 ,199 ,167 ,574 ,155 ,475 ,947 
2019/4/22,30,23,7,20709,16036,20008,732,3422,5578,21441 ,19458 ,25586 ,900 ,697 ,870 ,105 ,489 ,797 
2019/4/23,30,20,10,8817,6889,15869,663,4764,6754,9480 ,11653 ,22623 ,441 ,344 ,793 ,66 ,476 ,675 
2019/4/24,30,22,8,46596,23645,30094,723,2714,2480,47319 ,26359 ,32574 ,2118 ,1075 ,1368 ,90 ,339 ,310 
2019/4/25,30,22,8,8856,11013,14761,581,2345,3805,9437 ,13358 ,18566 ,403 ,501 ,671 ,73 ,293 ,476 
2019/4/26,10,5,5,235,394,1153,260,914,1656,495 ,1308 ,2809 ,47 ,79 ,231 ,52 ,183 ,331 
2019/4/28,30,23,7,5241,7036,10916,273,2599,1672,5514 ,9635 ,12588 ,228 ,306 ,475 ,39 ,371 ,239 
2019/4/29,29,21,8,29690,33288,68386,1029,2581,5614,30719 ,35869 ,74000 ,1414 ,1585 ,3256 ,129 ,323 ,702 
2019/4/30,30,24,6,13990,11454,18036,1969,2848,1702,15959 ,14302 ,19738 ,583 ,477 ,752 ,328 ,475 ,284 
2019/5/1,27,16,11,3680,3032,6447,289,4259,3722,3969 ,7291 ,10169 ,230 ,190 ,403 ,26 ,387 ,338 
2019/5/2,30,13,17,1309,2605,3281,1300,1928,6642,2609 ,4533 ,9923 ,101 ,200 ,252 ,76 ,113 ,391 
2019/5/3,30,18,12,2482,3871,18297,600,1397,4480,3082 ,5268 ,22777 ,138 ,215 ,1017 ,50 ,116 ,373 
2019/5/4,28,18,10,6495,6449,10940,1535,3246,7647,8030 ,9695 ,18587 ,361 ,358 ,608 ,154 ,325 ,765 
2019/5/5,27,21,6,27476,14107,15213,949,1877,1604,28425 ,15984 ,16817 ,1308 ,672 ,724 ,158 ,313 ,267 
2019/5/6,30,24,6,18753,22431,22816,434,678,711,19187 ,23109 ,23527 ,781 ,935 ,951 ,72 ,113 ,119 
2019/5/7,30,26,4,24502,18691,21535,138,1223,2550,24640 ,19914 ,24085 ,942 ,719 ,828 ,35 ,306 ,638 
2019/5/8,30,18,12,65378,10071,14698,870,2334,2653,66248 ,12405 ,17351 ,3632 ,560 ,817 ,73 ,195 ,221 
2019/5/9,30,17,13,8488,6045,11696,4182,4293,15701,12670 ,10338 ,27397 ,499 ,356 ,688 ,322 ,330 ,1208 
2019/5/10,30,19,11,16106,12982,19753,2164,6562,16604,18270 ,19544 ,36357 ,848 ,683 ,1040 ,197 ,597 ,1509 
2019/5/11,30,22,8,2740,3266,8117,835,3068,3943,3575 ,6334 ,12060 ,125 ,148 ,369 ,104 ,384 ,493 
2019/5/12,29,18,11,2158,5366,4374,331,4198,5959,2489 ,9564 ,10333 ,120 ,298 ,243 ,30 ,382 ,542 
2019/5/13,30,23,7,6390,6483,42845,603,1641,16287,6993 ,8124 ,59132 ,278 ,282 ,1863 ,86 ,234 ,2327 
2019/5/14,30,26,4,10140,12320,20216,1569,2204,1903,11709 ,14524 ,22119 ,390 ,474 ,778 ,392 ,551 ,476 
2019/5/15,30,26,4,23615,26607,13966,430,628,2001,24045 ,27235 ,15967 ,908 ,1023 ,537 ,108 ,157 ,500 
2019/5/16,30,18,12,11804,19953,52344,5383,7648,8609,17187 ,27601 ,60953 ,656 ,1109 ,2908 ,449 ,637 ,717 
2019/5/17,30,23,7,134010,75928,564168,12688,13594,72954,146698 ,89522 ,637122 ,5827 ,3301 ,24529 ,1813 ,1942 ,10422 
2019/5/18,30,19,11,8423,9502,54630,5329,4456,17865,13752 ,13958 ,72495 ,443 ,500 ,2875 ,484 ,405 ,1624 
2019/5/19,30,18,12,7154,13202,39843,6642,6499,12535,13796 ,19701 ,52378 ,397 ,733 ,2214 ,554 ,542 ,1045 
2019/5/20,30,17,13,9358,24942,64558,10572,17720,65254,19930 ,42662 ,129812 ,550 ,1467 ,3798 ,813 ,1363 ,5020 
2019/5/21,30,22,8,80191,35908,492533,13440,7002,50350,93631 ,42910 ,542883 ,3645 ,1632 ,22388 ,1680 ,875 ,6294 
2019/5/22,30,23,7,37829,29792,170461,3539,4018,14089,41368 ,33810 ,184550 ,1645 ,1295 ,7411 ,506 ,574 ,2013 
2019/5/23,30,23,7,90827,101343,199853,13650,12386,71230,104477 ,113729 ,271083 ,3949 ,4406 ,8689 ,1950 ,1769 ,10176 
2019/5/24,30,19,11,59636,21074,137873,11905,10831,75908,71541 ,31905 ,213781 ,3139 ,1109 ,7256 ,1082 ,985 ,6901 
2019/5/25,30,15,15,10776,15655,156982,14588,6998,72173,25364 ,22653 ,229155 ,718 ,1044 ,10465 ,973 ,467 ,4812 
2019/5/26,30,16,14,72707,31267,796972,13961,18656,53746,86668 ,49923 ,850718 ,4544 ,1954 ,49811 ,997 ,1333 ,3839 
2019/5/27,30,14,16,22391,8336,58912,36197,11248,79658,58588 ,19584 ,138570 ,1599 ,595 ,4208 ,2262 ,703 ,4979 
2019/5/28,30,22,8,99531,35791,288611,22920,87598,36627,122451 ,123389 ,325238 ,4524 ,1627 ,13119 ,2865 ,10950 ,4578 
2019/5/29,30,24,6,24641,24949,195389,6455,4945,15123,31096 ,29894 ,210512 ,1027 ,1040 ,8141 ,1076 ,824 ,2521 
2019/5/30,30,18,12,6938,6104,64063,5865,4901,74457,12803 ,11005 ,138520 ,385 ,339 ,3559 ,489 ,408 ,6205 
2019/5/31,30,26,4,20168,9556,286438,760,590,4221,20928 ,10146 ,290659 ,776 ,368 ,11017 ,190 ,148 ,1055 
2019/6/1,30,26,4,45444,16435,258786,932,1300,16560,46376 ,17735 ,275346 ,1748 ,632 ,9953 ,233 ,325 ,4140 
2019/6/2,30,19,11,40169,15626,130414,6243,3875,43514,46412 ,19501 ,173928 ,2114 ,822 ,6864 ,568 ,352 ,3956 
2019/6/3,30,24,6,8389,7256,34705,579,1189,5341,8968 ,8445 ,40046 ,350 ,302 ,1446 ,97 ,198 ,890 
2019/6/4,30,15,15,4688,3103,23746,3558,5824,126468,8246 ,8927 ,150214 ,313 ,207 ,1583 ,237 ,388 ,8431 
2019/6/5,30,27,3,19942,25604,774171,290,790,7082,20232 ,26394 ,781253 ,739 ,948 ,28673 ,97 ,263 ,2361 
2019/6/6,30,26,4,23364,15718,209312,413,753,10025,23777 ,16471 ,219337 ,899 ,605 ,8050 ,103 ,188 ,2506 
2019/6/7,30,18,12,12577,10550,48223,1852,3286,20144,14429 ,13836 ,68367 ,699 ,586 ,2679 ,154 ,274 ,1679 
2019/6/8,30,26,4,5673,3886,40927,555,1098,5483,6228 ,4984 ,46410 ,218 ,149 ,1574 ,139 ,275 ,1371 
2019/6/9,30,20,10,5226,6058,61049,1251,4702,22431,6477 ,10760 ,83480 ,261 ,303 ,3052 ,125 ,470 ,2243 
2019/6/10,30,26,4,12718,11342,113161,1016,4457,31698,13734 ,15799 ,144859 ,489 ,436 ,4352 ,254 ,1114 ,7925 
2019/6/11,30,28,2,37279,18852,395125,741,1970,9644,38020 ,20822 ,404769 ,1331 ,673 ,14112 ,371 ,985 ,4822 
2019/6/12,30,20,10,7420,3432,29597,1622,2376,18220,9042 ,5808 ,47817 ,371 ,172 ,1480 ,162 ,238 ,1822 
2019/6/13,30,19,11,3805,4032,60488,4366,2957,33709,8171 ,6989 ,94197 ,200 ,212 ,3184 ,397 ,269 ,3064 
2019/6/14,30,26,4,69343,20213,85052,2190,1625,13033,71533 ,21838 ,98085 ,2667 ,777 ,3271 ,548 ,406 ,3258 
